"","gameId","playId","playDescription","quarter","down","yardsToGo","possessionTeam","defensiveTeam","yardlineSide","yardlineNumber","gameClock","playNullifiedByPenalty","absoluteYardlineNumber","expectedPoints","offenseFormation","receiverAlignment","passResult","passLength","targetX","targetY","playAction","passLocationType","qbSpike","qbKneel","qbSneak","rushLocationType","penaltyYards","yardsGained","homeTeamWinProbabilityAdded","visitorTeamWinProbilityAdded","expectedPointsAdded","isDropback","pff_passCoverage","pff_manZone"
"1",2022102302,2655,"(1:54) (Shotgun) J.Burrow pass short middle to T.Boyd to CIN 30 for 9 yards (J.Hawkins).","Q3","1st",10,"CIN","ATL","CIN",21,"01:54","N",31,0.719313454814255,"Empty","3x2","C",6,37,16.51,FALSE,"INSIDE_BOX",FALSE,0,NA,NA,NA,9,0.00463384250178933,-0.00463384250178933,0.702716691652313,TRUE,"Cover 3","Zone"
"2",2022103004,3146,"(2:00) (Shotgun) D.Mills pass short right to D.Pierce to HST 26 for 6 yards (D.Walker).","Q4","3rd",12,"HOU","TEN","HOU",20,"02:00","N",30,-0.29148515756242,"Shotgun","2x2","C",-4,26,17.56,FALSE,"INSIDE_BOX",FALSE,0,NA,NA,NA,6,0.000204717274755239,-0.000204717274755239,-0.218480399809778,TRUE,"Quarters","Zone"
"3",2022102700,2799,"(2:16) (Shotgun) L.Jackson up the middle to TB 28 for -1 yards (R.Nunez-Roches).","Q3","2nd",8,"BAL","TB","TB",27,"02:16","N",83,3.92841257643886,"Pistol","3x1","",NA,NA,NA,TRUE,NA,NA,0,FALSE,"INSIDE_LEFT",NA,-1,0.0271411500871181,-0.0271411500871181,-0.638911766931415,FALSE,"Cover 1","Man"
"4",2022110605,3861,"(:29) (Shotgun) J.Wilkins up the middle to IND 45 for 5 yards (J.Uche).","Q4","1st",10,"IND","NE","IND",40,"00:29","N",50,0.991169406333938,"Shotgun","2x2","",NA,NA,NA,FALSE,NA,NA,0,FALSE,"OUTSIDE_LEFT",NA,5,0.00218856474384665,-0.00218856474384665,-0.991169406333938,FALSE,"Cover 2","Zone"
"5",2022091104,3662,"(12:51) (Shotgun) J.Hurts pass incomplete short right to D.Smith (A.Bryant) [J.Cominsky].","Q4","3rd",12,"PHI","DET","PHI",35,"12:51","N",45,-0.141129810595885,"Shotgun","3x1","I",-6,39,10.53,FALSE,"INSIDE_BOX",FALSE,0,NA,NA,NA,0,0.0123612862080336,-0.0123612862080336,-1.16162058082409,TRUE,"Cover 0","Man"
"6",2022100912,445,"(8:51) (Shotgun) C.Rush pass incomplete short right to D.Schultz.","Q1","3rd",5,"DAL","LA","LA",15,"08:51","N",95,3.96361408953089,"Shotgun","2x2","I",5,100,3.51,FALSE,"INSIDE_BOX",FALSE,0,NA,NA,NA,0,0.0340060908347368,-0.0340060908347368,-1.28844903939171,TRUE,"Cover 3","Zone"
"7",2022091112,1674,"(:35) (Shotgun) A.Rodgers pass deep left intended for R.Cobb INTERCEPTED by H.Smith [Z.Smith] at MIN 30. H.Smith to MIN 30 for no gain (R.Cobb).","Q2","1st",10,"GB","MIN","GB",25,"00:35","N",35,0.602452582679689,"Empty","4x1","IN",45,80,43.82,FALSE,"OUTSIDE_LEFT",FALSE,0,NA,NA,NA,0,0.00326242297887802,-0.00326242297887802,-1.07162690255791,TRUE,"Cover 2","Zone"
"8",2022092511,1310,"(9:41) (Shotgun) M.Mariota scrambles left end pushed ob at SEA 36 for 2 yards (J.Brooks).","Q2","2nd",7,"ATL","SEA","SEA",38,"09:41","N",72,2.93209566548467,"Pistol","2x1","R",NA,NA,NA,TRUE,NA,NA,0,FALSE,"OUTSIDE_LEFT",NA,2,0.000543221831321716,-0.000543221831321716,-0.26622841891367,TRUE,"Cover 3","Zone"
"9",2022100913,2604,"(6:08) (Shotgun) J.Burrow pass short right to S.Perine to BLT 13 for 7 yards (M.Harrison). Penalty on BLT-M.Peters, Illegal Use of Hands, declined.","Q3","3rd",6,"CIN","BAL","BAL",20,"06:08","N",90,3.80414963269141,"Shotgun","3x1","C",2,92,40.11,FALSE,"INSIDE_BOX",FALSE,0,NA,NA,0,7,-0.0411983020603657,0.0411983020603657,1.30458728491794,TRUE,"Cover 6","Zone"
"10",2022110607,3178,"(9:59) (Shotgun) T.Heinicke pass short left to B.Robinson to WAS 26 for -2 yards (A.Evans, J.Hicks).","Q4","2nd",7,"WAS","MIN","WAS",28,"09:59","N",38,0.738698264351115,"Empty","3x2","C",-3,35,9.06,FALSE,"INSIDE_BOX",FALSE,0,NA,NA,NA,-2,-0.0163068696856499,0.0163068696856499,-0.708830144489184,TRUE,"Quarters","Zone"
